clean_text,skor_sentimen,bobot_kata,label_sentimen
mirna sengaja pakai parfum takut tahu sianida,-10.0,"[('mirna', 0), ('sengaja', -2.0), ('pakai', 0), ('parfum', 0), ('takut', -4.0), ('tahu', -4.0), ('sianida', 0)]",negatif
menang hukum jessica jessica wonhso bunuh,-13.0,"[('menang', -5.0), ('hukum', -3.0), ('jessica', 0), ('jessica', 0), ('wonhso', 0), ('bunuh', -5.0)]",negatif
roy suryo jeda ach malas,-4.0,"[('roy', 0), ('suryo', 0), ('jeda', 0), ('ach', 0), ('malas', -4.0)]",negatif
nilai laku otto hasibuan keras adil rakyat indonesia harap acara buat laku otto hasibuan adil hukum indonesia tiada adil,-14.0,"[('nilai', 5.0), ('laku', 0), ('otto', 0), ('hasibuan', 0), ('keras', 0), ('adil', -3.0), ('rakyat', 0), ('indonesia', 0), ('harap', -3.0), ('acara', 0), ('buat', 1.0), ('laku', 0), ('otto', 0), ('hasibuan', 0), ('adil', -3.0), ('hukum', -3.0), ('indonesia', 0), ('tiada', -5.0), ('adil', -3.0)]",negatif
kompolnas bicara mecle mencle muka sogok,-4.0,"[('kompolnas', 0), ('bicara', 0), ('mecle', 0), ('mencle', 0), ('muka', 0), ('sogok', -4.0)]",negatif
buka hukum negara hidup lang percaya rakyat,-8.0,"[('buka', -3.0), ('hukum', -3.0), ('negara', 0), ('hidup', -4.0), ('lang', 0), ('percaya', 2.0), ('rakyat', 0)]",negatif
moga buka mohon tinjau biar klir,-7.0,"[('moga', 1.0), ('buka', -3.0), ('mohon', -2.0), ('tinjau', 0), ('biar', -3.0), ('klir', 0)]",negatif
hati gombong bang adil akhirat,-8.0,"[('hati', -2.0), ('gombong', -3.0), ('bang', 0), ('adil', -3.0), ('akhirat', 0)]",negatif
mantau dukung lake ser,4.0,"[('mantau', 0), ('dukung', 4.0), ('lake', 0), ('ser', 0)]",positif
benar ungkap,-7.0,"[('benar', -4.0), ('ungkap', -3.0)]",negatif
miris hukum indonesia kelas kompolnas pakai o alahhhhh ngompolnas,-10.0,"[('miris', -4.0), ('hukum', -3.0), ('indonesia', 0), ('kelas', -3.0), ('kompolnas', 0), ('pakai', 0), ('o', 0), ('alahhhhh', 0), ('ngompolnas', 0)]",negatif
hahhh edy mati wkwk,-5.0,"[('hahhh', 0), ('edy', 0), ('mati', -5.0), ('wkwk', 0)]",negatif
hakim agung bikin ulah,-3.0,"[('hakim', 0), ('agung', 0), ('bikin', 0), ('ulah', -3.0)]",negatif
sadar cctv tambah jessica masuk tangan kiri pakai jam tangan iya cctv edar tangan kiri jessica pakai jam mata siwer kali iya,-4.0,"[('sadar', -1.0), ('cctv', 0), ('tambah', 3.0), ('jessica', 0), ('masuk', -3.0), ('tangan', 1.0), ('kiri', -3.0), ('pakai', 0), ('jam', 0), ('tangan', 1.0), ('iya', 0), ('cctv', 0), ('edar', 2.0), ('tangan', 1.0), ('kiri', -3.0), ('jessica', 0), ('pakai', 0), ('jam', 0), ('mata', -2.0), ('siwer', 0), ('kali', 0), ('iya', 0)]",negatif
sambo iya,0.0,"[('sambo', 0), ('iya', 0)]",netral
percaya otak manusia terus persis kata detail bohong bohong belit,-10.0,"[('percaya', 2.0), ('otak', -3.0), ('manusia', 3.0), ('terus', 0), ('persis', 0), ('kata', -1.0), ('detail', 2.0), ('bohong', -5.0), ('bohong', -5.0), ('belit', -3.0)]",negatif
forensik kayak drama korea partner of justice percaya dokter,-5.0,"[('forensik', 0), ('kayak', -3.0), ('drama', -4.0), ('korea', 0), ('partner', 0), ('of', 0), ('justice', 0), ('percaya', 2.0), ('dokter', 0)]",negatif
pas dokter jaya potong alas,5.0,"[('pas', 3.0), ('dokter', 0), ('jaya', 4.0), ('potong', -2.0), ('alas', 0)]",positif
mas roy mas r otot bela mati uang mu bawa kubur duduk teman bayak gerak,-12.0,"[('mas', 0), ('roy', 0), ('mas', 0), ('r', 0), ('otot', -4.0), ('bela', 0), ('mati', -5.0), ('uang', 0), ('mu', 0), ('bawa', -3.0), ('kubur', 0), ('duduk', 0), ('teman', 0), ('bayak', 0), ('gerak', 0)]",negatif
hakim jaksa seram e bukti anak bangsa hukum,-13.0,"[('hakim', 0), ('jaksa', 0), ('seram', -4.0), ('e', 0), ('bukti', -3.0), ('anak', -3.0), ('bangsa', 0), ('hukum', -3.0)]",negatif
ayo warganet indonesiaaaa mengungkp kebenarannn orang kuasa membungkm warganet orang kuasa kutik,10.0,"[('ayo', 4.0), ('warganet', 0), ('indonesiaaaa', 0), ('mengungkp', 0), ('kebenarannn', 0), ('orang', 0), ('kuasa', 3.0), ('membungkm', 0), ('warganet', 0), ('orang', 0), ('kuasa', 3.0), ('kutik', 0)]",positif
gagap gegep omong sinngompol,-9.0,"[('gagap', -5.0), ('gegep', 0), ('omong', -4.0), ('sinngompol', 0)]",negatif
dokter selamat muncul muka iya,2.0,"[('dokter', 0), ('selamat', 5.0), ('muncul', -3.0), ('muka', 0), ('iya', 0)]",positif
roy suryo kocak trok tas hadiah orang trok kena injek tinggal takut hilang kelompok trok lihat aneh banget,-27.0,"[('roy', 0), ('suryo', 0), ('kocak', -2.0), ('trok', 0), ('tas', 0), ('hadiah', -3.0), ('orang', 0), ('trok', 0), ('kena', -3.0), ('injek', -3.0), ('tinggal', -3.0), ('takut', -4.0), ('hilang', -4.0), ('kelompok', -5.0), ('trok', 0), ('lihat', 3.0), ('aneh', -4.0), ('banget', 1.0)]",negatif
kompolnas kompolnas autopsi bicara aoutopsi haha lucu,-2.0,"[('kompolnas', 0), ('kompolnas', 0), ('autopsi', 0), ('bicara', 0), ('aoutopsi', 0), ('haha', 0), ('lucu', -2.0)]",negatif
cctv rekayasa kawan sogok uang,-4.0,"[('cctv', 0), ('rekayasa', 0), ('kawan', 0), ('sogok', -4.0), ('uang', 0)]",negatif
lucu banget roy suryo cctv full video surat sita lucu,-3.0,"[('lucu', -2.0), ('banget', 1.0), ('roy', 0), ('suryo', 0), ('cctv', 0), ('full', 0), ('video', 0), ('surat', 0), ('sita', 0), ('lucu', -2.0)]",negatif
jessica niat bunuh iya kafe cctvnya ajak makan mie ayam emper warung kopi leseh hhhhhh,-12.0,"[('jessica', 0), ('niat', 0), ('bunuh', -5.0), ('iya', 0), ('kafe', -4.0), ('cctvnya', 0), ('ajak', 1.0), ('makan', -1.0), ('mie', 0), ('ayam', 0), ('emper', -3.0), ('warung', 0), ('kopi', 0), ('leseh', 0), ('hhhhhh', 0)]",negatif
daripana opini publik aju saji bukti teriak bukti,-7.0,"[('daripana', 0), ('opini', 0), ('publik', 0), ('aju', -3.0), ('saji', 4.0), ('bukti', -3.0), ('teriak', -2.0), ('bukti', -3.0)]",negatif
wahana wacana simpul bicara,0.0,"[('wahana', 0), ('wacana', -3.0), ('simpul', 3.0), ('bicara', 0)]",netral
tenggelam up tegak adil,-3.0,"[('tenggelam', 0), ('up', 0), ('tegak', 0), ('adil', -3.0)]",negatif
malas nonton diskusi televisi sibuk durasi durasi enak nonton podcast,-11.0,"[('malas', -4.0), ('nonton', 0), ('diskusi', 0), ('televisi', 0), ('sibuk', -3.0), ('durasi', 0), ('durasi', 0), ('enak', -4.0), ('nonton', 0), ('podcast', 0)]",negatif
free palestina,3.0,"[('free', 3.0), ('palestina', 0)]",positif
bukti panci hilang mana roy,-7.0,"[('bukti', -3.0), ('panci', 0), ('hilang', -4.0), ('mana', 0), ('roy', 0)]",negatif
ingat salah tangkap buka mata najwa betapa bobrokna hukung indonesia haha,-11.0,"[('ingat', -3.0), ('salah', -4.0), ('tangkap', -3.0), ('buka', -3.0), ('mata', -2.0), ('najwa', 0), ('betapa', 4.0), ('bobrokna', 0), ('hukung', 0), ('indonesia', 0), ('haha', 0)]",negatif
mc berisik,0.0,"[('mc', 0), ('berisik', 0)]",netral
film netflix jam warganet pengaruh narasi film lihat bukti iya tonton sidang simpul,-10.0,"[('film', 0), ('netflix', 0), ('jam', 0), ('warganet', 0), ('pengaruh', -2.0), ('narasi', -4.0), ('film', 0), ('lihat', 3.0), ('bukti', -3.0), ('iya', 0), ('tonton', -4.0), ('sidang', -3.0), ('simpul', 3.0)]",negatif
iya simpul nomor autopsy nomor crime nomor cyanide nomor crime,3.0,"[('iya', 0), ('simpul', 3.0), ('nomor', 0), ('autopsy', 0), ('nomor', 0), ('crime', 0), ('nomor', 0), ('cyanide', 0), ('nomor', 0), ('crime', 0)]",positif
miracle cell nomor,0.0,"[('miracle', 0), ('cell', 0), ('nomor', 0)]",netral
roy suryo sogok kali maknya mojokin jessica,-4.0,"[('roy', 0), ('suryo', 0), ('sogok', -4.0), ('kali', 0), ('maknya', 0), ('mojokin', 0), ('jessica', 0)]",negatif
saksi bapak mirna hipnotis biar gamblang,-7.0,"[('saksi', 1.0), ('bapak', 0), ('mirna', 0), ('hipnotis', 0), ('biar', -3.0), ('gamblang', -5.0)]",negatif
pakar telematika roy panci apa banding babe,-4.0,"[('pakar', -1.0), ('telematika', 0), ('roy', 0), ('panci', 0), ('apa', -3.0), ('banding', -3.0), ('babe', 3.0)]",negatif
tuju ayah,-4.0,"[('tuju', -4.0), ('ayah', 0)]",negatif
sayang profesor edy bayang stres,-5.0,"[('sayang', -3.0), ('profesor', 0), ('edy', 0), ('bayang', 2.0), ('stres', -4.0)]",negatif
aduh tambah viral tinggal panggil bang uya kuya hipnotis jessica ayah mirna hipnotis gampang tahun bohong,-12.0,"[('aduh', -3.0), ('tambah', 3.0), ('viral', 0), ('tinggal', -3.0), ('panggil', -1.0), ('bang', 0), ('uya', 0), ('kuya', 0), ('hipnotis', 0), ('jessica', 0), ('ayah', 0), ('mirna', 0), ('hipnotis', 0), ('gampang', -3.0), ('tahun', 0), ('bohong', -5.0)]",negatif
sembunyi barang bukti sembunyi barang bukti pidana polisi,-6.0,"[('sembunyi', 0), ('barang', 0), ('bukti', -3.0), ('sembunyi', 0), ('barang', 0), ('bukti', -3.0), ('pidana', 0), ('polisi', 0)]",negatif
hukum konoha tumpul tajam anggotane akatsuki uup ujung ujung licin,-16.0,"[('hukum', -3.0), ('konoha', 0), ('tumpul', -3.0), ('tajam', -2.0), ('anggotane', 0), ('akatsuki', 0), ('uup', 0), ('ujung', -3.0), ('ujung', -3.0), ('licin', -2.0)]",negatif
video rekam handphone rekam cctv cctv vokus doang video rekrayasa rekam pakai handphone video cctv muka,-10.0,"[('video', 0), ('rekam', -3.0), ('handphone', 0), ('rekam', -3.0), ('cctv', 0), ('cctv', 0), ('vokus', 0), ('doang', -1.0), ('video', 0), ('rekrayasa', 0), ('rekam', -3.0), ('pakai', 0), ('handphone', 0), ('video', 0), ('cctv', 0), ('muka', 0)]",negatif
argumen jessica,-4.0,"[('argumen', -4.0), ('jessica', 0)]",negatif
innalillahi kutuk orang fitnah zalim orang buat hidup kekal uang tega fitnah uang gkbsa tolong alam kubur moga allah cepat amin,-28.0,"[('innalillahi', 0), ('kutuk', -5.0), ('orang', 0), ('fitnah', -5.0), ('zalim', -5.0), ('orang', 0), ('buat', 1.0), ('hidup', -4.0), ('kekal', 3.0), ('uang', 0), ('tega', -5.0), ('fitnah', -5.0), ('uang', 0), ('gkbsa', 0), ('tolong', -2.0), ('alam', -1.0), ('kubur', 0), ('moga', 1.0), ('allah', 5.0), ('cepat', -3.0), ('amin', -3.0)]",negatif
roy suryo beloon detil digital file,-3.0,"[('roy', 0), ('suryo', 0), ('beloon', -3.0), ('detil', 0), ('digital', 0), ('file', 0)]",negatif
sih roy kenapeee,0.0,"[('sih', 0), ('roy', 0), ('kenapeee', 0)]",netral
sambar petir fs cctv,-6.0,"[('sambar', -3.0), ('petir', -3.0), ('fs', 0), ('cctv', 0)]",negatif
uang kuasa tertawa,8.0,"[('uang', 0), ('kuasa', 3.0), ('tertawa', 5.0)]",positif
tega hukum yesika muak bobrok sampah kampung rekayasa janggal masuk akal rekayasaya anak orang salah paksa salah penjara manusia wi rakyat wjb demo bantu yesika salah wjb bebas tegak hukum usut kebohongsnya wjb seret penjara berat bohong rekayasa tangkap hukum mati bahaya umt manusia,-85.0,"[('tega', -5.0), ('hukum', -3.0), ('yesika', 0), ('muak', -5.0), ('bobrok', -5.0), ('sampah', -4.0), ('kampung', 0), ('rekayasa', 0), ('janggal', -4.0), ('masuk', -3.0), ('akal', 0), ('rekayasaya', 0), ('anak', -3.0), ('orang', 0), ('salah', -4.0), ('paksa', -4.0), ('salah', -4.0), ('penjara', -4.0), ('manusia', 3.0), ('wi', 0), ('rakyat', 0), ('wjb', 0), ('demo', -3.0), ('bantu', -4.0), ('yesika', 0), ('salah', -4.0), ('wjb', 0), ('bebas', -4.0), ('tegak', 0), ('hukum', -3.0), ('usut', 0), ('kebohongsnya', 0), ('wjb', 0), ('seret', 0), ('penjara', -4.0), ('berat', 0), ('bohong', -5.0), ('rekayasa', 0), ('tangkap', -3.0), ('hukum', -3.0), ('mati', -5.0), ('bahaya', -5.0), ('umt', 0), ('manusia', 3.0)]",negatif
jessica lakuna almarhum mirna sehat walafiat undang minum kopi minum spontan kapar kejang jessica langsung mes kopi tunggu mirna tawark an minum kopi juz janggal mirna kopi meja tunggu mirna tawar minum laku jessica mala wongso,-26.0,"[('jessica', 0), ('lakuna', 0), ('almarhum', 0), ('mirna', 0), ('sehat', -1.0), ('walafiat', 0), ('undang', 2.0), ('minum', -3.0), ('kopi', 0), ('minum', -3.0), ('spontan', 3.0), ('kapar', 0), ('kejang', 0), ('jessica', 0), ('langsung', 3.0), ('mes', 0), ('kopi', 0), ('tunggu', -2.0), ('mirna', 0), ('tawark', 0), ('an', 0), ('minum', -3.0), ('kopi', 0), ('juz', -4.0), ('janggal', -4.0), ('mirna', 0), ('kopi', 0), ('meja', 0), ('tunggu', -2.0), ('mirna', 0), ('tawar', -4.0), ('minum', -3.0), ('laku', 0), ('jessica', 0), ('mala', -5.0), ('wongso', 0)]",negatif
wajib buka tuhan maha adil satu janggal kuak,-6.0,"[('wajib', -2.0), ('buka', -3.0), ('tuhan', 3.0), ('maha', 4.0), ('adil', -3.0), ('satu', -1.0), ('janggal', -4.0), ('kuak', 0)]",negatif
repoternya baik dengar potong narasumber tonton paham,-5.0,"[('repoternya', 0), ('baik', -1.0), ('dengar', 2.0), ('potong', -2.0), ('narasumber', 0), ('tonton', -4.0), ('paham', 0)]",negatif
panci tabung gas kembali roy,-1.0,"[('panci', 0), ('tabung', 3.0), ('gas', -4.0), ('kembali', 0), ('roy', 0)]",negatif
jaksa pentut hukum wajib selidik harta ppatk autopsi sangka jaksa tuntut bukti jessica salah jaksa tuntut wajib oecat hormat pidana berat berat,-26.0,"[('jaksa', 0), ('pentut', 0), ('hukum', -3.0), ('wajib', -2.0), ('selidik', -3.0), ('harta', 0), ('ppatk', 0), ('autopsi', 0), ('sangka', -3.0), ('jaksa', 0), ('tuntut', -3.0), ('bukti', -3.0), ('jessica', 0), ('salah', -4.0), ('jaksa', 0), ('tuntut', -3.0), ('wajib', -2.0), ('oecat', 0), ('hormat', 0), ('pidana', 0), ('berat', 0), ('berat', 0)]",negatif
roy sirajapanci,0.0,"[('roy', 0), ('sirajapanci', 0)]",netral
sehat otto hasibuan,-1.0,"[('sehat', -1.0), ('otto', 0), ('hasibuan', 0)]",negatif
menang autopsi dasar pengadilanya sah autopsi titik,-8.0,"[('menang', -5.0), ('autopsi', 0), ('dasar', 0), ('pengadilanya', 0), ('sah', 0), ('autopsi', 0), ('titik', -3.0)]",negatif
belit belit autopsi haanya salah gara gara lihat cctv lucu,-17.0,"[('belit', -3.0), ('belit', -3.0), ('autopsi', 0), ('haanya', 0), ('salah', -4.0), ('gara', -4.0), ('gara', -4.0), ('lihat', 3.0), ('cctv', 0), ('lucu', -2.0)]",negatif
asumsi,-3.0,"[('asumsi', -3.0)]",negatif
roy suryo ahli apaaaan iya kayak orang,-3.0,"[('roy', 0), ('suryo', 0), ('ahli', 0), ('apaaaan', 0), ('iya', 0), ('kayak', -3.0), ('orang', 0)]",negatif
johnson wakil bentak biar kapok,-11.0,"[('johnson', 0), ('wakil', 0), ('bentak', -5.0), ('biar', -3.0), ('kapok', -3.0)]",negatif
mas royyy mati kutu tanggung malu terima cuan,-9.0,"[('mas', 0), ('royyy', 0), ('mati', -5.0), ('kutu', 0), ('tanggung', -2.0), ('malu', -4.0), ('terima', 2.0), ('cuan', 0)]",negatif
gera mbuktikan tangan dakwa mbuktikan tang,4.0,"[('gera', 0), ('mbuktikan', 0), ('tangan', 1.0), ('dakwa', 3.0), ('mbuktikan', 0), ('tang', 0)]",positif
beda jujur bohong jujur mudah erti bohong lier we sieta teing matak tengarti,-17.0,"[('beda', -2.0), ('jujur', -1.0), ('bohong', -5.0), ('jujur', -1.0), ('mudah', -1.0), ('erti', -2.0), ('bohong', -5.0), ('lier', 0), ('we', 0), ('sieta', 0), ('teing', 0), ('matak', 0), ('tengarti', 0)]",negatif
kompolnas diskusi omong blepot lucu,-6.0,"[('kompolnas', 0), ('diskusi', 0), ('omong', -4.0), ('blepot', 0), ('lucu', -2.0)]",negatif
benar baik muncul,-8.0,"[('benar', -4.0), ('baik', -1.0), ('muncul', -3.0)]",negatif
tuju ungkap tabir palsu lagu bang haji rhoma irama,-1.0,"[('tuju', -4.0), ('ungkap', -3.0), ('tabir', 0), ('palsu', 0), ('lagu', 2.0), ('bang', 0), ('haji', 0), ('rhoma', 0), ('irama', 4.0)]",negatif
masya allaaaah jessica masuk akal ribu juta orang orang ikhlas bantu tuduh bunuh masya allah kuasa tuhan tuhan bolak balik hati benar allahu akbar moga cepat bebas jessica moga tuhan mangabulkan a orang aniaya,-7.0,"[('masya', 0), ('allaaaah', 0), ('jessica', 0), ('masuk', -3.0), ('akal', 0), ('ribu', 0), ('juta', 2.0), ('orang', 0), ('orang', 0), ('ikhlas', 4.0), ('bantu', -4.0), ('tuduh', 0), ('bunuh', -5.0), ('masya', 0), ('allah', 5.0), ('kuasa', 3.0), ('tuhan', 3.0), ('tuhan', 3.0), ('bolak', 0), ('balik', -3.0), ('hati', -2.0), ('benar', -4.0), ('allahu', 0), ('akbar', 0), ('moga', 1.0), ('cepat', -3.0), ('bebas', -4.0), ('jessica', 0), ('moga', 1.0), ('tuhan', 3.0), ('mangabulkan', 0), ('a', 0), ('orang', 0), ('aniaya', -4.0)]",negatif
roy suryo sok,0.0,"[('roy', 0), ('suryo', 0), ('sok', 0)]",netral
kompolnas roy hormat iya indak malu ngobus mahasiswa hadehhhhh kayak indak sekolah behhhh behhhhh behhhhh,-4.0,"[('kompolnas', 0), ('roy', 0), ('hormat', 0), ('iya', 0), ('indak', 0), ('malu', -4.0), ('ngobus', 0), ('mahasiswa', 0), ('hadehhhhh', 0), ('kayak', -3.0), ('indak', 0), ('sekolah', 3.0), ('behhhh', 0), ('behhhhh', 0), ('behhhhh', 0)]",negatif
hini hana hini hana tonton ngmongnya xoba simpul mati,-6.0,"[('hini', 0), ('hana', 0), ('hini', 0), ('hana', 0), ('tonton', -4.0), ('ngmongnya', 0), ('xoba', 0), ('simpul', 3.0), ('mati', -5.0)]",negatif
mantap bang jonson,5.0,"[('mantap', 5.0), ('bang', 0), ('jonson', 0)]",positif
soebandi rapi banget pakai jas,-1.0,"[('soebandi', 0), ('rapi', -2.0), ('banget', 1.0), ('pakai', 0), ('jas', 0)]",negatif
jess diam buka suara adil moga adil negeri kuak semangat orang kekeh diri an adil orang butuh adil,-25.0,"[('jess', 0), ('diam', -3.0), ('buka', -3.0), ('suara', -1.0), ('adil', -3.0), ('moga', 1.0), ('adil', -3.0), ('negeri', 0), ('kuak', 0), ('semangat', -1.0), ('orang', 0), ('kekeh', 0), ('diri', -1.0), ('an', 0), ('adil', -3.0), ('orang', 0), ('butuh', -5.0), ('adil', -3.0)]",negatif
dukung reza indra tindak hukum buat senang harga keluarga kait suap egs jessica salah tingkat percaya hadap arogansi edisi jessica usaha suap duga henti persepsi ilmu rz campur sianida jessica,-8.0,"[('dukung', 4.0), ('reza', 0), ('indra', 0), ('tindak', 0), ('hukum', -3.0), ('buat', 1.0), ('senang', -4.0), ('harga', 3.0), ('keluarga', -3.0), ('kait', 1.0), ('suap', -3.0), ('egs', 0), ('jessica', 0), ('salah', -4.0), ('tingkat', 1.0), ('percaya', 2.0), ('hadap', 0), ('arogansi', 0), ('edisi', 0), ('jessica', 0), ('usaha', -4.0), ('suap', -3.0), ('duga', -1.0), ('henti', -4.0), ('persepsi', 0), ('ilmu', 4.0), ('rz', 0), ('campur', 5.0), ('sianida', 0), ('jessica', 0)]",negatif
iya reza indra suap kian jessica,-3.0,"[('iya', 0), ('reza', 0), ('indra', 0), ('suap', -3.0), ('kian', 0), ('jessica', 0)]",negatif
jessica bilang tuhan tidur dalam apa jaksa sudut jessica buka,-3.0,"[('jessica', 0), ('bilang', 0), ('tuhan', 3.0), ('tidur', -3.0), ('dalam', 3.0), ('apa', -3.0), ('jaksa', 0), ('sudut', 0), ('jessica', 0), ('buka', -3.0)]",negatif
ayo semangat juang adil negara bosan oto teman teman semangat,-4.0,"[('ayo', 4.0), ('semangat', -1.0), ('juang', -3.0), ('adil', -3.0), ('negara', 0), ('bosan', 0), ('oto', 0), ('teman', 0), ('teman', 0), ('semangat', -1.0)]",negatif
bebas jessica adil sesat,-11.0,"[('bebas', -4.0), ('jessica', 0), ('adil', -3.0), ('sesat', -4.0)]",negatif
nih roy suryo edi seuzon melulu inti nomor outopsi nomor case close,-5.0,"[('nih', 0), ('roy', 0), ('suryo', 0), ('edi', 0), ('seuzon', 0), ('melulu', -3.0), ('inti', 0), ('nomor', 0), ('outopsi', 0), ('nomor', 0), ('case', 0), ('close', -2.0)]",negatif
kompolnya kilah gas,-8.0,"[('kompolnya', 0), ('kilah', -4.0), ('gas', -4.0)]",negatif
josua outopsi tutup,-2.0,"[('josua', 0), ('outopsi', 0), ('tutup', -2.0)]",negatif
for your information tvone televisi penting iya gas iya,-8.0,"[('for', 0), ('your', 0), ('information', 0), ('tvone', 0), ('televisi', 0), ('penting', -4.0), ('iya', 0), ('gas', -4.0), ('iya', 0)]",negatif
buka kasus,-3.0,"[('buka', -3.0), ('kasus', 0)]",negatif
grub sambo sg ulah,-3.0,"[('grub', 0), ('sambo', 0), ('sg', 0), ('ulah', -3.0)]",negatif
roy suryo tebak bukti falidddd suruh patung oalahhhh mksutnya naru racun siapaaaaa royyyy kopi jesikaaaa,-10.0,"[('roy', 0), ('suryo', 0), ('tebak', -2.0), ('bukti', -3.0), ('falidddd', 0), ('suruh', -2.0), ('patung', -3.0), ('oalahhhh', 0), ('mksutnya', 0), ('naru', 0), ('racun', 0), ('siapaaaaa', 0), ('royyyy', 0), ('kopi', 0), ('jesikaaaa', 0)]",negatif
jessica laku urai dokter djaja benar,-4.0,"[('jessica', 0), ('laku', 0), ('urai', 0), ('dokter', 0), ('djaja', 0), ('benar', -4.0)]",negatif
terima kasih jaja membri jelas terang benderang masyarakat autopsi terima kasih orang,-7.0,"[('terima', 2.0), ('kasih', -1.0), ('jaja', 0), ('membri', 0), ('jelas', -3.0), ('terang', -3.0), ('benderang', -3.0), ('masyarakat', 0), ('autopsi', 0), ('terima', 2.0), ('kasih', -1.0), ('orang', 0)]",negatif
ayo dukung dokter jaja,8.0,"[('ayo', 4.0), ('dukung', 4.0), ('dokter', 0), ('jaja', 0)]",positif
terang eddy hasibun pengaruh hasil asumsi duga analis sidang warga awam serasa surat pemberitahuan tahun cerpen,-12.0,"[('terang', -3.0), ('eddy', 0), ('hasibun', 0), ('pengaruh', -2.0), ('hasil', 3.0), ('asumsi', -3.0), ('duga', -1.0), ('analis', 0), ('sidang', -3.0), ('warga', 0), ('awam', 0), ('serasa', 0), ('surat', 0), ('pemberitahuan', -3.0), ('tahun', 0), ('cerpen', 0)]",negatif
sehat otto,-1.0,"[('sehat', -1.0), ('otto', 0)]",negatif
smogah buka kuak laku kesini emosi lihat,-4.0,"[('smogah', 0), ('buka', -3.0), ('kuak', 0), ('laku', 0), ('kesini', 0), ('emosi', -4.0), ('lihat', 3.0)]",negatif
turut buka jessica bebas bayang pandang masyarakat indonesia tegak hukum negara jessica laku jessica korban bobrok oknum,-19.0,"[('turut', -3.0), ('buka', -3.0), ('jessica', 0), ('bebas', -4.0), ('bayang', 2.0), ('pandang', 1.0), ('masyarakat', 0), ('indonesia', 0), ('tegak', 0), ('hukum', -3.0), ('negara', 0), ('jessica', 0), ('laku', 0), ('jessica', 0), ('korban', -4.0), ('bobrok', -5.0), ('oknum', 0)]",negatif
malas lihat sih panci suryo isi,-6.0,"[('malas', -4.0), ('lihat', 3.0), ('sih', 0), ('panci', 0), ('suryo', 0), ('isi', -5.0)]",negatif
bsbaskan jessica,0.0,"[('bsbaskan', 0), ('jessica', 0)]",netral
seru dengar jelas djaja runut masuk akal konsisten terang dasar omong dipertanggungjawabkan hakim abai timbang dapat saksi ilmu beliau,-16.0,"[('seru', -5.0), ('dengar', 2.0), ('jelas', -3.0), ('djaja', 0), ('runut', 0), ('masuk', -3.0), ('akal', 0), ('konsisten', 0), ('terang', -3.0), ('dasar', 0), ('omong', -4.0), ('dipertanggungjawabkan', 0), ('hakim', 0), ('abai', -3.0), ('timbang', 0), ('dapat', -2.0), ('saksi', 1.0), ('ilmu', 4.0), ('beliau', 0)]",negatif
kompolnas ngmong jessica jadi ngontrol cctv kemarin profesor eddy ngmong klarifikasi bhwasanya salah ngmong cek cctv jessica prah nih kompolnas ecek sih,-10.0,"[('kompolnas', 0), ('ngmong', 0), ('jessica', 0), ('jadi', -2.0), ('ngontrol', 0), ('cctv', 0), ('kemarin', 0), ('profesor', 0), ('eddy', 0), ('ngmong', 0), ('klarifikasi', 0), ('bhwasanya', 0), ('salah', -4.0), ('ngmong', 0), ('cek', -4.0), ('cctv', 0), ('jessica', 0), ('prah', 0), ('nih', 0), ('kompolnas', 0), ('ecek', 0), ('sih', 0)]",negatif
jujur penasaran bner diri emosi,-9.0,"[('jujur', -1.0), ('penasaran', -3.0), ('bner', 0), ('diri', -1.0), ('emosi', -4.0)]",negatif
senang jelas a jaja top banget,-1.0,"[('senang', -4.0), ('jelas', -3.0), ('a', 0), ('jaja', 0), ('top', 5.0), ('banget', 1.0)]",negatif
bengong bang dengar bang oto hasibuan bicara fakta,-1.0,"[('bengong', 0), ('bang', 0), ('dengar', 2.0), ('bang', 0), ('oto', 0), ('hasibuan', 0), ('bicara', 0), ('fakta', -3.0)]",negatif
doa baik moga titik terang tuntas tenang,-9.0,"[('doa', -4.0), ('baik', -1.0), ('moga', 1.0), ('titik', -3.0), ('terang', -3.0), ('tuntas', 2.0), ('tenang', -1.0)]",negatif
datang bang rismon konfrontasi sih roy biar bungkam sih roy,-11.0,"[('datang', -4.0), ('bang', 0), ('rismon', 0), ('konfrontasi', 0), ('sih', 0), ('roy', 0), ('biar', -3.0), ('bungkam', -4.0), ('sih', 0), ('roy', 0)]",negatif
roy suryo sih bicara,0.0,"[('roy', 0), ('suryo', 0), ('sih', 0), ('bicara', 0)]",netral
roy suryo biang kerok,-3.0,"[('roy', 0), ('suryo', 0), ('biang', 0), ('kerok', -3.0)]",negatif
ganti host nyelak melulu dahal rupa narasumber,-3.0,"[('ganti', -3.0), ('host', 0), ('nyelak', 0), ('melulu', -3.0), ('dahal', 0), ('rupa', 3.0), ('narasumber', 0)]",negatif
hadee rekayasa sesuai tangan daun duduk beda tangan daun belah kiri,-5.0,"[('hadee', 0), ('rekayasa', 0), ('sesuai', 3.0), ('tangan', 1.0), ('daun', 0), ('duduk', 0), ('beda', -2.0), ('tangan', 1.0), ('daun', 0), ('belah', -5.0), ('kiri', -3.0)]",negatif
gambar gera tangan nseperti,-2.0,"[('gambar', -3.0), ('gera', 0), ('tangan', 1.0), ('nseperti', 0)]",negatif
