slang,formal
ganteng2,ganteng ganteng
garuk2,garuk garuk
kakkkkk,kakak
gantiin,gantikan
pngenn,ingin
sungguh2,sungguh sungguh
biasa2,biasa biasa
seru2an,seru seruan
kaaaa,kakak
kedpan,ke depan
"nutup""in",menutup nutupi
kakkk,kakak
mulut2,mulut mulut
peengn,ingin
mrit,menikah
ngapasih,kenapa sih
sisain,sisakan
tunggu2,tunggu tunggu
amiien,amin
jalan2,jalan jalan
gossip2an,saling menggosip
makkk,emak
pengennn,ingin
kebarat2an,kebarat baratan
mantabs,mantap
apikkkk,bagus
yoiii,iya
diputusin,diputus
mamanyy,mamanya
kaa,kakak
yuwkkk,ayo
yuuuuk,ayo
disiniii,di sini
sayangg',sayang
yukkkk,ayo
ksitu,ke situ
rekomndd,rekomended
guaa,gue
bangg,abang
th2,tahun tahun
ngomng,ngomong
mdh2an,mudah mudahan
taiiii,tai
besarin,besarkan
nikahin,nikahi
model2,model model
bajua,bajunya
pokokya,pokoknya
ubur2,ubur ubur
kuyy,ayo
dureen,durian
ajibb,keren
konten2,konten konten
rasain,rasakan
ibu2,ibu ibu
sexxi,sexy
ngerii,mengerikan
pgin,ingin
kaaakk,kakak
cepet2,cepat cepat
kepingin,ingin
deeek,adik
deg2an,deg degan
asikkk,asyik
yoooiii,iya
pengan,ingin
barang2,barang barang
mantabb,mantap
diluarann,di luaran
geh,sana
22nya,dua duanya
kesinii,ke sini
dstu,di situ
wiiiihhhh,weh
mudah2,mudah mudah
diapa2in,diapa apai
lhoo,lo
jln2,jalan jalan
kapan2,kapan kapan
adain,adakan
bosen2,bosan bosan
kece2,kece kece
bae2,baik baik
jaman2nya,zaman zamannya
choker2,choker choker
abis2,habis habis
para2,parah parah
ilang2,hilang hilang
ledekin,meledeki
repot2,repot repot
oles2,oles oles
artis2,artis artis
kira2,kira kira
pas2an,pas pasan
balesin,balaskan
imut2,imut imut
jagain,jagakan
macem2,macam macam
ksni,ke sini
koplakkk,kocak
nyolotinnnn,melototi
maak,emak
pegangin,pegangi
manjain,manjakan
peleotin,meleotkan
onoh,sana
staf2nya,staf stafnya
hati2,hati hati
jangan2,jangan jangan
kata2nya,kata katanya
hancurin,hancurkan
jgn2,jangan jangan
fakta2,fakta fakta
nilai2,nilai nilai
buka2,buka buka
eloo,lu
apa2nya,apa apanya
anak2nya,anak anaknya
ank2nya,anak anaknya
ank2,anak anak
kakkkk,kakak
wihh,weh
gapap,enggak apa apa
durhaka2,durhaka durhaka
cabe2,cabe cabe
kata2,kata kata
segala2nya,segala galanya
korek2,korek korek
cabe2an,cabe cabean
terong2an,terong terongan
orang2,orang orang
jadulnya,zaman dulunya
kayanye,kayaknya
komen2an,berbalas komen
perbaikin,perbaiki
permasalhkan,mempermasalahkan
betul2,betul betul
rata2,rata rata
diurusin,diurus
ngebolehin,memperbolehkan
amienn,amin
sekangen2,sekangen kangen
amiennn,amin
wong2,orang orang
rempong,ribet
hadapin,hadapi
dengarin,dengarkan
widihh,weh
cita2,cita cita
foto2nya,foto fotonya
lagu2,lagu lagu
saya2,saya saya
lagu2nya,lagu lagunya
gra2,gara gara
udah2,sudah sudah
curhat2,curhat curhat
baju2,baju baju
perubut,perunut
bagus2,bagus bagus
dluar,di luar
boleh2,boleh boleh
beda2,beda beda
cek2,cek cek
sapa2,siapa siapa
baik2nya,baik baiknya
anak2mu,anak anakmu
anak2,anak anak
ngasih2,mengasih ngasih
amit2,amit amit
jelek2,jelek jelek
main2,main main
kdg2,kadang kadang
looohh,lo
nafkahin,nafkahi
keren2,keren keren
pinginnn,ingin
tahun2,tahun tahun
azeeeek,asyik
pengn,ingin
dekkk,adik
hal2,hal hal
komunitas2,komunitas komunitas
yeeee,iya
anak2e,anak anaknya
comen2nya,komen komennya
jelas2,jelas jelas
nyebut2,menyebut nyebut
serem2,seram seram
brengsekk,berengsek
dibikin2,dibuat buat
yuuks,ayo
mbak2,mbak mbak
seindonesiyah,seluruh indonesia
nyambungin,menyambungkan
dikata2in,diejek
woooiiiiiiii,oi
woooiiiii,oi
wihhh,weh
cakepp,cakap
yaoloh,ya allah
bikinin,buatkan
ngtain,mengejek
mbuh,enggak tau
bedain,bedakan
apal,hafal
rupa2nya,rupa rupanya
drimnanya,dari mananya
gitu2,begitu begitu
kmana2,kemana mana
komentar2,komentar komentar
kenyataan2,kenyataan kenyataan
sukur2,syukur syukur
baek2,baik baik
berbeda2,berbeda beda
dikemanain,di kemanakan
baca2,baca baca
komen2,komen komen
sebelum2nya,sebelum sebelumnya
kangeeeeeeeenya,kangennya
gantikn,menggantikan
kebaikany,kebaikannya
dssi,di sisi
nggeh,iya
sdkit2,sedikit sedikit
doa2,doa doa
dposisi,di posisi
tanda2nya,tanda tandanya
tmn2nya,teman temannya
fto2,foto foto
msg2,masing masing
pgnnya,inginnya
baang,abang
yuu,ayo
yuuu,ayo
looo,lo
yokk,ayo
weeeh,weh
kokohh,kukuh
tteh,embak
dblkang,di belakang
pengeeenn,ingin
njayyy,anjir
tokayyy,tai
banx,abang
loooh,lo
tanya2,tanya tanya
bela2in,bela bela
marah2an,marahan
yappp,iya
uwahhhhh,weh
bnr2,benar benar
hayukk,ayo
ntab,mantap
yukss,ayo
cuyyy,coy
tay,tai
tumpe2,tumpah tumpah
lenje,sok cantik
tuuuuh,itu
macam2,macam macam
cantiik2,cantik cantik
dikatain,diejek
dbwh,di bawah
bukti2,bukti bukti
mereka2,mereka mereka
awal2,awal awal
besar2in,besar besarkan
sinetrn,sinetron
terburu2,terburu buru
baik2,baik baik
ngumpat2,mengumpat umpat
kamu2,kamu kamu
rajin2,rajin rajin
bales2in,membalas
grgr,gara gara
jari2,jari jari
bengkak2,bengkak bengkak
bijak2,bijak bijak
lama2,lama lama
tipe2,tipe tipe
teguran2,teguran teguran
liat2,lihat lihat
miring2,miring miring
bner2,benar benar
redho,rida
adek2,adek adek
bunga2,bunga bunga
penyanyi2,penyanyi penyanyi
wiih,weh
hari2,hari hari
dimao,dinamo
minyak2an,minyak minyakan
ngomong2,ngomong ngomong
agamany,agamanya
arab2,arab arab
anjaayy,anjir
woyyy,oi
njay,anjir
cantik2,cantik cantik
ajakin,ajak
yooookkk,ayo
autuhh,enggak tau itu
kaaaaaaaaaakkkkkkkkkkk,kakak
kucingny,kucingnya
panggilanya,panggilannya
panggilany,panggilannya
tips2,tips tips
foto2,foto foto
dilepas2,dilepas lepas
cuyy,coy
bangga2in,membangga banggakan
bilang2,bilang bilang
karya2,karya karya
ngepake,memakai
laguny,lagunya
mba2,mbak mbak
tappi,tetapi
ngerebut2,merebut
bellain,bela
kallo,kalau
pikir2,pikir pikir
kuyyy,ayo
adenya,adiknya
dsana,di sana
dua2nya,dua duanya
cantik2nya,cantik cantiknya
muka2,muka muka
saat2,saat saat
berani2,berani berani
pinkkkk,merah muda
dihh,ih
tipu2nya,tipu tipunya
kaj,kakak
gakpapa,enggak apa apa
kalogak,kalau enggak
kaaaaa,kakak
uih,weh
dirumahny,di rumahnya
pengenn,ingin
seterong,kuat
disni,di sini
bakar2in,bakar bakari
yya,iya
dosa2mu,dosa dosamu
maafin,maafkan
dalem2,dalam dalam
bahas2,bahas bahas
bacotin,bacot
sadis2,sadis sadis
remang2,remang remang
dipuja2,dipuja puja
ngrasain,merasakan
marah2,marah marah
urat2nya,urat uratnya
tua2,tua tua
oma2,oma oma
ibuk2,ibu ibu
iseng2,iseng iseng
sexi2,sexy sexy
ledkin,ledeki
ilangin,hilangkan
rpt2,repot repot
baru2,baru baru
yuukk,ayo
penyebab2,penyebab penyebab
tengah2,tengah tengah
dijkt,di jakarta
undangan2,undangan undangan
masa2,masa masa
pankapan,kapan kapan
lohhh,lo
sexi,sexy
ikut2an,ikut ikutan
comment2nya,komen komennya
teman2,teman teman
besar2an,besar besaran
kontak2,kontak kontak
ongkiir,ongkos kirim
lucu2,lucu lucu
seburuk2,seburuk buruk
elo2,lu lu
looh,lo
mngkannya,makanya
nyia2in,menyia nyiakan
sellow,santai
kasar2,kasar kasar
bronis,berondong manis
petinggi2,petinggi petinggi
wota2,wota wota
tempat2,tempat tempat
kartunin,dibuatkan kartun
duuhh,aduh
kpn2,kapan kapan
unyu2,unyu unyu
adekx,adiknya
greged,gereget
sista2,sister sister
agan2,agan agan
slw,santai
woooyy,oi
miara,memelihara
jalanani,jalani
dalil2,dalil dalil
sunah2,sunahsunah
benda2,benda benda
ikut2,ikut ikut
mikir2,memikir
ngefans,menggemari
uztad,ustaz
pegang2,pegang pegang
ngfans,menggemari
nih2,nih nih
asuuu,anjing
ceklist,centang
emak2,emak emak
tante2,tante tante
jalanin,janani
ngejelek2in,menjelek jelekkan
lebar2,lebar lebar
merrid,nikah
naggung,tanggung
dede,adik
ppa,ayah
dedeknya,adiknya
klepek2,klepek klepek
bawa2,bawa bawa
lgkah2,langkah langkah
skali2,sekali kali
kueren2,keren keren
hayuu,ayo
ilang2an,hilang hilangan
dee,adik
seru2,seru seru
debay,adik bayi
sma2,sama sama
tapii,tetapi
ngeri2,ngeri ngeri
benahin,benahi
buka2an,buka bukaan
ngungkit2,mengungkit ungkit
jls2,jelas jelas
mancing2,memancing mancing
nee,nih
siapa2,siapa siapa
mengait2kan,mengaitkan
tikung2,tikung tikung
setelur2nya,setelur telurnya
cari2,cari cari
diindonesis,di indonesia
ala2,ala ala
yook,ayo
elus2,elus elus
menyebut2,menyebut nyebut
yoiiu,iya
ada2,ada ada
jaman2,jaman jaman
dket2in,dekat dekati
tau2,tau tau
jamam,zaman
nyela,menyela
tayik,tai
napsuu,nafsu
ceemen,payah
nyolong,mencuri
dekk,adik
kura2,kura kura
dulurrr,saudara
amin2,amin amin
mdh2n,mudah mudahan
tth,mbak
otot2,otot otot
sia2kan,sia siakan
ngumbar2,mengumbar umbar
boro2,boro boro
ngolokin,ejek
bhgiain,bahagiakan
ditengah2,ditengah tengah
aminn2,amin amin
aamien,amin
gtu2,begitu gitu
fans2,fan fan
athoh,atuh
baangg,abang
babangnya,abangnya
abaq,abaqus
abd,abdi
amhp,abdullah makhmud hendropriyono
abgbugil,abg bugil
abgmesum,abg mesum
abu2,abu abu
abubakar,abu bakar
acaraâ bakal,acaranya bakal
adadikompas,ada di kompas
adafildankamibegadang,ada fil dan kamil begadang
adatuh,ada itu
adaloh,ada lo
adala,adalah
adatgorontalo,adat gorontalo
adatnye,adatnya
addmath,add math
adik2,adik adik
adekku,adikku
akk,administrasi kebijakan kesehatan
adren,adrenal
adeuhh,aduh
adh,aduh
adih,aduh
adohh,aduh
aiish,aduh
aish,aduh
affu19indosiar,aff under 19 indosiar
agkya,agaknya
agkya3,agaknya
agama2,agama agama
agamaâ,agamanya
agamax,agamanya
agnostic,agnostik
agunh,agung
agung2in,agung agungkan
ahy,agus harimurti yudhoyono
achh,ah
aghh,ah
agiah,ah
arhh,ah
ahlu,ah lu
ahsudalah,ah sudahlah
ahhâ,aha
aheruntukindonesia,aher untuk indonesia
ajusshi,ahjussi
ahlunnar,ahlun nar
ahlussunah,ahlusunah
ahlussunnah,ahlusunah
aheryawan,ahmad heryawan
ahoak,ahok
ahoq,ahok
ahokpastitumbang,ahok pasti tumbang
ahokpecahbelahbangsa,ahok pecah belah bangsa
ahogers,ahoker
aisyah,aisya
ajak2,ajak ajak
ajakalah,ajaklah
ajaran2,ajaran ajaran
akbp,ajun komisaris besar polisi
akp,ajun komisaris polisi
akhir2,akhir akhir
akhinya,akhirnya
ahlikul,akhlak
aqiqah,akikah
akhen,aksen
asesoris,aksesori
aksi299,aksi 299
aksi313jokowitakutlengser,aksi 313 jokowi takut lengser
aksi2,aksi aksi
aksibelaislan,aksi bela islam
aksimaksa,aksi maksa
aksinaga299,aksi naga 299
aktingny,aktingnya
aktifis,aktivis
aktivisi,aktivis
aktifitas,aktivitas
aktivitasjokowi,aktivitas jokowi
akutu,aku itu
akutuh,aku itu
akumaupresidenbaru,aku mau presiden baru
akuseorangpendosa,aku seorang pendosa
akuseruji,aku seruji
akusisi,akuisisi
akaun,akun
akun2,akun akun
akutansi,akuntansi
akurr,akur
akur2,akur akur
acut,akut
albanna,al banna
alfathih,al fatih
alfaatihah,al fatihah
alfatihah,al fatihah
alhabib,al habib
aljufri,al jufri
alkafirun,al kafirun
almaidah,al maidah
almaidah51,al maidah 51
almusawa,al musawa
alqaeda,al qaeda
alalala,ala ala
aelaah,alah
ahelah,alah
alaa,alah
alaâ,alah
alaah,alah
alaahh,alah
alambanten,alam banten
alamsekitar,alam sekitar
alamiyah,alamiah
apamnya,alamnya
alang2,alang alang
alasan2,alasan alasan
alasanbikinaksi,alasan bikin aksi
alasannyaâ,alasannya
alesanya,alasannya
alqt,alat
alutsista,alat utama sistem pertahanan
alayy,alay
alaikm,alaykum
alemanâ,alemannya
aleksis,alexis
alfaadli,alfadli
alhmdulillah,alhamdulillah
alhamdulillahongkos,alhamdulillah ongkos
aliâ,alia
aliby,alibi
aileen,alien
aelien1stmensive,alien first mensive
aline,alinea
allaah,allah
allahyarham,allah ya rahman
alohmubarbar,allahmu barbar
allahakbar,allahu akbar
allahuakhbar,allahu akbar
allahummagfirli,allahummaghfirli
alumi,alumni
alumni212,alumni 212
alywafa,aly wafa
aman2,aman aman
amatin,amati
amateur,amatir
amstir,amatir
amek,ambek
ambivient,ambient
ambik,ambil
ambil2,ambil ambil
ambisitercapai,ambisi tercapai
ambis,ambisius
amblass,amblas
ambleg,amblek
ambulan,ambulans
amrik,amerika
aminin,aminkan
amiss,amis
amitamit,amit amit
amaroso,amoroso
ampyuunn,ampun
anakonda,anaconda
anakk,anak
aneuk,anak
anak2ku,anak anak ku
anakku,anakku
anlisa,analisis
analisaku,analisisku
ancem2an,ancam ancaman
antabur,ancuran tai burung
andaa,anda
andaâ,anda
andalin,andalkan
andiblz,andi balas
andreopa,andre opa
anehdidunia,aneh di dunia
angan2,angan angan
angeus,angelus
anggep,anggap
aggaran,anggaran
apbd,anggaran pendapatan dan belanja daerah
apbn,anggaran pendapatan dan belanja negara
anggota2,anggota anggota
anggotadpr,anggota dewan perwakilan rakyat
anggotany,anggotanya
angkatan45,angkatan 1945
angkatan66,angkatan 1966
angkatan98,angkatan 1998
angkot,angkutan kota
aniespresiden2019,anies presiden 2019
aniessndi,anies sandi
anime2,anime anime
anismatta,anis matta
ajgg,anjing
anjeeng,anjing
anjenk,anjing
anjiing,anjing
anjingg,anjing
anjinxx,anjing
anjyng,anjing
anying,anjing
anzing,anjing
anjing2,anjing anjing
anjing2in,anjing anjingi
anjay,anjir
anjer,anjir
anjiirr,anjir
anjiritt,anjir
anjy,anjir
anjyr,anjir
anshor,ansar
antr,antar
antarabangsa,antara bangsa
ante,antek
antek2,antek antek
antek2nya,antek anteknya
antekny,anteknya
ateknya,anteknya
anty,anti
anti2ny,anti antinya
antihoax,anti hoaks
antijil,anti jaringan islam liberal
antikomunis,anti komunis
antisyiah,anti syiah
antiterorisme,anti terorisme
antitesa,antitesis
antoncharliyan,anton charliyan
antri,antre
antrian,antrean
anthropology,antropologi
aoa,apa
apakk,apa
ape2,apa apa
apa2an,apa apaan
apa2in,apa apakan
apadong,apa dong
apakabss,apa kabar
apkabar,apa kabar
aplg,apa lagi
aplgie,apa lagi
apasalahnya,apa salahnya
apaansi,apa sih
apasi,apa sih
apan,apaan
apann,apaan
apaandah,apaan deh
apaka,apakah
apkah,apakah
apkh,apakah
apain,apakan
apalag,apalah
apaapun,apapun
aparat2,aparat aparat
asn,aparatur sipil negara
apelancau,ape lancau
amsyong,apes
appnya,aplikasinyya
arab2an,arab araban
arabislam,arab islam
arahbaruindonesia,arah baru indonesia
abritase,arbitrase
aromatics,aromatik
artine,artinya
artiny,artinya
aarze,arze
asaan,asahan
asall,asal
asalbukanjokowi,asal bukan jokowi
assalammualaikum,asalamualaikum
assalamu,asalamualaikum
adalnya,asalnya
ashar,asar
azas,asas
asset,aset
assets,aset
aset2,aset aset
asiangames2018,asian games 2018
asiangameskita,asian games kita
asymetric,asimetri
assimilate,asimilasi
asibg,asing
asing2,asing asing
asdep,asisten deputi
aselik,asli
asliserunya,asli serunya
asongan2,asongan asongan
appsi,asosiasi pedagang pasar seluruh indonesia
assasin,assassin
assassinations,assassination
asstag,astaga
astagfirllah,astagfirullah
astagfirlloh,astagfirullah
astagfiruloh,astagfirullah
astaghfar,astagfirullah
astaghfirullah,astagfirullah
astaghfirullohal,astagfirullahal
asuog,asu
asuu,asu
azu,asu
asutolol,asu tolol
asuan,asuhan
asysyihaa,asy syifa
aseeqq,asyik
asyikk,asyik
asik2,asyik asyik
asyikm3nang,asyik menang
attas,atas
atarturk,ataturk
atao,atau
atheis,ateis
atheist,ateis
athies,ateis
atheisdete,ateis mati
attabrani,ath thabrani
atlit,atlet
atmajaya,atma jaya
atongkepoh,atomg kepo
antraksi,atraksi
atur2,atur atur
aulyaa,auliya
ausi,australia
aussie,australia
aviaa,avia
awaass,awas
awakarin,awkarin
ayak2,ayak ayak
ayamkampus,ayam kampus
ayamorr,ayamor
ayashiyan,ayashiya
ayat2,ayat ayat
ayoh,ayo
ayuh,ayo
ayohbangsa,ayo bangsa
ayoindonesia,ayo indonesia
ayokedamraman,ayo ke dam raman
ayokefestivalpesonabunaken,ayo ke festival pesona bunaken
ayopenjarakan,ayo penjarakan
ayutingting,ayu ting ting
ayyub,ayub
adzab,azab
adzan,azan
adzanin,azankan
adzim,azim
aziim,azim
baa,ba
baag,ba
babihok,babi ahok
babyy,baby
bacakorankaltim,baca koran kalimantan timur
baca2in,bacakan
bacain,bacakan
backstage,back stage
backtocampus,back to campus
bacod,bacot
awakmu,badanmu
baduy,badui
badut2,badut badut
bagaiamana,bagaimana
bagmna,bagaimana
bagia,bagian
bagian2,bagian bagian
bahanakan,bahan akan
bahancoli,bahan coli
bahalul,bahlul
baek2in,baik baiki
angst,bangsat
akeh,banyak
baggona,begitu
ambisional,berambisi
b4,berempat
awek,cewek
aras2en,enggan
abiez,habis
abizz,habis
abisan,habisnya
abisnya,habisnya
ahahah,haha
ahahahaha,haha
ahahahahaha,haha
ahhahahha,haha
ajhakabahajha,haha
baahahahahahahahahhahah,haha
bahaha,haha
allooww,halo
alus,halus
ancoor,hancur
ancor,hancur
ancur2,hancur hancur
ancuran,hancuran
ancurin,hancurkan
anget2,hangat hangat
angetin,hangatkan
apuss,hapus
atine,hatinya
ads,iklan
aipet,ipad
aok,iya
ancok,jancuk
aki2,kakek kakek
apankah,kapan kah
adilan,keadilan
awsum,keren
arut,larut
â maroko,maroko
arep,mau
backingin,melindungi
angkrem,mengerami
arulin,pada bermain
accny,persetujuannya
½ramayana,ramayana
adolexcent,remaja
ajach,saja
ajadeh,saja deh
ay,say
aingpersibaingpolitik,saya persib saya politik
agalanya,segalanya
akrg,sekarang
afternya,setelahnya
amak,tikar
apdet,update
que,aku
qurâ,alquran
qurra,alquran
quranku,alquranku
pimen,bagaimana
pimensiv,bagaimana sih
replyan,balasan
pisann,banget
rebutan,berebut
rapopo,enggak apa apa
raiso,enggak bisa
raisin,enggak malu
rausahmundurrausahwedi,enggak perlu mundur enggak perlu takut
rauwisuwis,enggak selesai selesai
raseneng,enggak suka
rausa,enggak usah
pilosofi,filosofi
pitnah,fitnah
poto,foto
potonya,fotonya
prustasi,frustrasi
qizi,gizi
pingn,ingin
pinginnya,inginnya
pidex,injak
qabul,kabul
qn,kan
rein,kendali
rantis,kendaraan taktis
polda,kepolisian daerah
polri,kepolisian republik indonesia
polsek,kepolisian sektor
qususi,khusus
qishosjokowi,kisas jokowi
qitaab,kitab
qty,kuantitas
quda,kuda
quiz,kuiz
quota,kuota
qurban,kurban
quote,kutipan
plantaran,lantaran
report,laporan
reportnya,laporannya
pisuhi,marahi
promote,mempromosikan
reti,mengerti
realized,menyadari
ping,merah muda
pink,merah muda
pink2,merah muda
qizmin,miskin
pngebetnya,ngebet
qey,oke
rlnya,pacarnya
pqdahal,padahal
pokcoy,pakcoy
pmi,palang merah indonesia
plmbng,palembang
plestina,palestina
pntas,pantas
pnts,pantas
praah,parah
pkpi,partai keadilan dan persatuan indonesia
pks,partai keadilan sejahtera
pksbersamaulama,partai keadilan sejahtera bersama ulama
pkskhawatir,partai keadilan sejahtera khawatir
pkb,partai kebangkitan bangsa
pkbnomorsatu,partai kebangkitan bangsa nomor satu
pkc,partai komunis cina
pki,partai komunis indonesia
pkibukanindonesia,partai komunis indonesia bukan indonesia
pkiklau,partai komunis indonesia kalau
pni,partai nasional indonesia
prd,partai rakyat demokratik
psanganya,pasangannya
pstikan,pastikan
ptut,patut
pns,pegawai negeri sipil
pjs,pejabat sementara
pjalan,pejalan
pios,pekan ilmiah olahraga dan seni mahasiswa
pkrja,pekerja
psk,pekerja seks komersial
pr,pekerjaan rumah
pupr,pekerjaan umum dan perumahan rakyat
pler,peler
pulihara,pelihara
pmain,pemain
pmbangunan,pembangunan
pmbngunan,pembangunan
pmtb,pembentukan modal tetap bruto
pmgang,pemegang
pmrintah,pemerintah
pmrth,pemerintah
prri,pemerintahan revolusioner republik indonesia
rapist,pemerkosa
pulkada,pemilihan kepala daerah
pilpres,pemilihan presiden
pilpres2019,pemilihan presiden 2019
pmimpinnya,pemimpinnya
pmpek,pempek
pollingnya,pemungutan suaranya
pinalti,penalti
prnampilan,penampilan
pndptn,pendapatan
pnddikan,pendidikan
plk,pendidikan layanan khusus
pndkung,pendukung
pn,pengadilan negeri
ptun,pengadilan tata usaha negara
pngkuan,pengakuan
pngangguran,pengangguran
pngangkut,pengangkut
pngndara,pengendara
pngertian,pengertian
pngikut,pengikut
pollower,pengikut
pngkhianat,pengkhianat
pngunjung,pengunjung
pwnu,pengurus wilayah nahdlatul ulama
pnjg,penjaga
pting,penting
pnukaran,penukaran
pointernya,penunjuknya
pnyebar,penyebar
provider,penyedia
providernya,penyedianya
prasaanku,perasaanku
prepres,peraturan presiden
prbedaan,perbedaan
prcaya,percaya
prcma,percuma
prekonomian,perekonomian
pmii,pergerakan mahasiswa islam indonesia
ptkin,perguruan tinggi keagamaan islam negeri
pmk,perhimpunan mahasiswa katolik
pmkri,perhimpunan mahasiswa katolik republik indonesia
priode,periode
prkataan,perkataan
prsamaan,persamaan
pui,persatuan umat islam
prsaudaraan,persaudaraan
prosntasi,persentase
ptfi,perseroan terbatas freeport indonesia
ptpn,perseroan terbatas perkebunan nusantara
prthankn,pertahankan
prtama,pertama
prshn,perusahaan
pln,perusahaan listrik negara
porut,perut
pswat,pesawat
picrk,picek
pikiran2,pikiran pikiran
pkrannya,pikirannya
pikirin,pikirkan
pikirqu,pikirku
pilihgusipulmbakputi,pilih gus ipul mbak puti
pilih2,pilih pilih
plhn,pilihan
pilgu,pilihan gubernur
pilgub,pilihan gubernur
pilgubjateng2018,pilihan gubernur 2018
pilgubdki,pilihan gubernur daerah khusus ibukota
pilgubjabar2018,pilihan gubernur jawa barat 2018
pilgubjat3ngtanpahoax,pilihan gubernur jawa tengah tanpa hoaks
pilgubsu2018,pilihan gubernur sumatera utara 2018
pilkada,pilihan kepala daerah
pilkada2018,pilihan kepala daerah 2018
pilkadaacehselatan2018,pilihan kepala daerah aceh selatan 2018
pilkadaâ berintegritas,pilihan kepala daerah berintegritas
pilkadaâ deliserdang,pilihan kepala daerah deliserdang
pilkadako,pilihan kepala daerah kota bogor
pilkadakotabogo,pilihan kepala daerah kota bogor
pilkadaâ langsung,pilihan kepala daerah langsung
pilkadamalang,pilihan kepala daerah malang
pilkadaseharusnyamemberikandampakpositif,pilihan kepala daerah seharusnya memberikan dampak positif
pilkadaâ serentak,pilihan kepala daerah serentak
pileg,pilihan legislatif
pilihan2,pilihan pilihan
pilihanprabowountukjabar,pilihan prabowo untuk jawa barat
pilihanya,pilihannya
pimred,pimpinan redaksi
pinn,pin
pinff,pinoy
pintet,pintar
pintar2,pintar pintar
pinter2,pintar pintar
pinternya,pintarnya
piramid2,piramida piramida
pisank,pisang
pyjamas,piyama
ps,play station
psn,play station network
playvictim,play victim
pliss,please
planga,plonga
plenjas,plonga
plongaplo,plonga plongo
plongaplongo,plonga plongo
plenjus,plongo
pluralism,pluralisme
ples,plus
point2,poin poin
poï,point of interest
pojoksatu,pojok satu
pokoknyah,pokoknya
poll,pol
poland,polandia
polemikpemberantasanterorisme,polemik pemberantasan terorisme
poly,poli
poligamy,poligami
poiisi,polisi
polres,polisi resor
polsis,polisi siswa
polman,politeknik manufaktur negeri bandung
politicianacademy,politician academy
politicid,politik
polhukam,politik hukum dan keamanan
pilitiknya,politiknya
politikâ,politiknya
politisi2,politiknya
politusi,politisi
poling,polling
plos,polos
pondokleleaksanacirebon,pondok lele aksana cirebon
populerb1,populer
porn,porno
portoflio,portofolio
poskotanews,pos kota news
positive,positif
positiflugasdanmencerahkan,positif lugas dan mencerahkan
poskojoin,posko join
pospera,posko perjuangan rakyat
posterdakwah,poster dakwah
posting2,posting posting
potongâ atasâ,potongan atas
pp10sempurna,pp 10 sempurna
ppforjokowi,pp for jokowi
pre,pra
prakemerdekaan,pra kemerdekaan
prakhotbah,pra khotbah
praun,pra ujian nasional
prabon,prabowo
prabowo2periode,prabowo 2 periode
prabowoanismatta,prabowo anis matta
prabocor,prabowo bocor
prabowoforpresiden2019,prabowo for presiden 2019
prabowogagalmoveon,prabowo gagal move on
prabowountukindonesia,prabowo untuk indonesia
praketik,praktik
praktekan,praktikan
prakteknya,praktiknya
pratyay,pratyaya
prayformahasiswaui,pray for mahasiswa ui
prayforrohingya,pray for rohingya
prediksinggrisjuarapd2018,prediksi inggris juara pada 2018
premiosmt,premios mt
pstmt,prepared statement
plesiden,presiden
presid,presiden
preside,presiden
presidens,presiden
president,presiden
presuden,presiden
prsiden,presiden
presiden2019,presiden 2019
presidenabadi,presiden abadi
presidenâ soeharto,presiden soeharto
presidentnya,presidennya
presidenya,presidennya
pt20langgarkonstitusi,presidential threshold langgar konstitusi
prestasli,prestasi
prestasiny,prestasinya
preet,pret
pref,pret
prett,pret
pri,pria
pribumu,pribumi
princes,princess
prinsip2,prinsip prinsip
println,print
print130k,print 130 ribu
prioriti,prioritas
procina,pro cina
prokorupt,pro koruptor
problem2,problem problem
provo,proco
ploduk,produk
produ,produk
product,produk
prukades,produk unggulan kawasan perdesaan
produktifitas,produktivitas
produktifitasnya,produktivitasnya
podusen,produsen
producer,produser
professional,profesional
professor,profesor
profile,profil
prog,program
program16,program 16
program18,program 18
program8,program 8
pkh,program keluarga harapan
pkhsupergusipulputi,program keluarga harapan super gus ipul puti
proker,program kerja
pkm,program kreativitas mahasiswa
program2,program program
progran2,program program
prodi,program studi
progresi,progres
progressive,progresif
projo,promo
promosiin,promosikan
property,properti
protection,proteksi
protek,proteksi
protestant,protestan
ptc,provides technology solutions
prov,provinsi
provokativ,provokatif
provikator,provokator
project,proyek
proyek2,proyek proyek
pru14,pru 14
pseduo,pseudo
psyco,psiko
psychologist,psikolog
puasin,puaskan
public,publik
puisigus,puisi gus
puja2,puja puja
pkul,pukul
pulng,pulang
pulangmengundi,pulang mengundi
pulang2,pulang pulang
pulangin,pulangkan
pulað,pulau
pulau2,pulau pulau
pululan,pullulan
polpen,pulpen
puluhancina,puluhan cina
punâ,punah
pungli,pungutan liar
pungutin,punguti
punyo,punya
purn,purna
pwt,purwokerto
poseng,pusing
posing,pusing
pusying,pusing
rieutt,pusing
puteeh,putih
poetri,putri
putus2,putus putus
putusin,putuskan
qias,qiyas
quraisyh,quraisy
rabbaniah,rabbaniyah
rabbah,rabi
rabbi,rabi
rabbikuma,rabikuma
rabuseru,rabu seru
rasict,racist
rasis,racist
rada2,rada rada
radenmas,raden mas
radicals,radikal
radiohead,radio head
raditia,raditya
raffiahmad,raffi ahmad
rag,raga
raj,raja
raja2,raja raja
rcti,rajawali citra televisi indonesia
rokaat,rakaat
